id;drużyna;BR;Obrona;Pomoc;Atak;Ogólna;Charakter
1;Legia Warszawa;70;68;73;71;71;10
2;Lech Poznań;72;70;70;69;70;9
3;Górnik Zabrze;69;68;70;67;69;9
4;Wisła Kraków;64;64;71;74;68;7
5;Piast Gliwice;61;60;71;70;66;3
6;GKS Katowice;66;67;70;70;68;7
7;Jagiellonia Białystok;68;68;69;68;68;7
8;Korona Kielce;67;66;69;66;67;7
9;Pogoń Szczecin;67;66;69;61;66;6
10;Zagłębie Lubin;67;68;68;61;66;4
11;Cracovia;66;66;68;62;66;7
12;Radomiak Radom;60;61;67;62;63;6
13;Śląsk Wrocław;61;62;67;62;63;8
14;Motor Lublin;59;59;67;66;63;7
15;Wisła Płock;59;60;54;57;58;4
16;Wieczysta Kraków;58;58;60;59;59;2
17;Raków Częstochowa;57;57;59;60;58;7
