id;drużyna;BR;Obrona;Pomoc;Atak;Ogólna
1;Raków Częstochowa;76;78;73;70;74
2;Legia Warszawa;73;70;73;69;71
3;Lech Poznań;75;71;70;71;72
4;Pogoń Szczecin;62;60;74;70;67
5;Piast Gliwice;63;60;60;67;63
6;Górnik Zabrze;61;55;61;69;62
7;Cracovia;60;58;61;66;61
8;Warta Poznań;60;58;59;61;60
9;Zagłębie Lubin;58;54;55;60;57
10;Radomiak Radom;58;54;55;59;57
11;Stal Mielec;58;55;56;63;58
12;Korona Kielce;55;54;57;59;56
13;Jagiellonia Białystok;55;53;60;71;60
14;Śląsk Wrocław;55;54;54;63;57
15;Wisła Płock;55;53;55;60;56
16;Lechia Gdańsk;54;53;52;62;55
17;Miedź Legnica;54;52;59;56;55
